통제번호,키워드1,키워드2,키워드3
1C210.,필라멘트소재; 섬유상 또는 필라멘트 소재; fibrous; fibrous material; Fibrous or filamentary materials; filamentary; filamentary material,섬유; 필라멘트; fiber; filament,
1C210.a.,유기섬유; 탄소섬유; 아라미드섬유; aramid fiber; carbon fiber; kevlar; organic fiber,,탄소; aramid; carbon; organic
1C210.b.,무기섬유; 유리섬유; glass fiber; inorganic fiber,,무기; 유리; glass; inorganic
1C210.c.,방적사; 조방사; 테이프; 무기섬유; 섬유다발; 유리섬유; 탄소섬유; 프리프레그; 모노필라멘트; carbon fiber; glass fiber; inorganic fiber; monofilament; prepreg; roving; tape; tow; yarn,함침; 열경화성 수지; Thermoset resin,
1C216.,마레이징강; Maraging steels,강; 철강; 철합금; iron alloys; steel,
1C225.,"보론; 붕소; 농축보론; 농축붕소; 보론-10, 붕소-10,; Boron; boron-10",,원소; 제품; 부산물; 제조물; 폐기물; 혼합물; 화합물; compound; element; manufacture; mixtures; scrap; waste
1C226.,텅스텐; 텅스텐 카바이드; Tungsten; tungsten carbide,합금; alloy,실린더; cylinder
1C227.,칼슘; Calcium,,보론; 붕소; boron
1C228.,마그네슘; Magnesium,,보론; 붕소; boron
1C229.,비스무스; Bismuth,,은; silver
1C230.,베릴륨; Beryllium,,금속; 제품; 합금; 부산물; 제조물; 폐기물; 화합물; alloy; compound; manufacture; metal; scrap; waste
1C231.,하프늄; Hafnium,,금속; 제품; 합금; 부산물; 제조물; 폐기물; 화합물; alloy; compound; manufacture; metal; scrap; waste
